,Water_g,Energy_kcal,Energy_kJ,Protein_g,Total lipid (fat)_g,Ash_g,"Carbohydrate, by difference_g","Fiber, total dietary_g","Sugars, total_g",Sucrose_g,Glucose (dextrose)_g,Fructose_g,Lactose_g,Maltose_g,Galactose_g,"Calcium, Ca_mg","Iron, Fe_mg","Magnesium, Mg_mg","Phosphorus, P_mg","Potassium, K_mg","Sodium, Na_mg","Zinc, Zn_mg","Copper, Cu_mg","Manganese, Mn_mg","Selenium, Se_µg","Vitamin C, total ascorbic acid_mg",Thiamin_mg,Riboflavin_mg,Niacin_mg,Pantothenic acid_mg,Vitamin B-6_mg,"Folate, total_µg",Folic acid_µg,"Folate, food_µg","Folate, DFE_µg","Choline, total_mg",Betaine_mg,Vitamin B-12_µg,"Vitamin B-12, added_µg","Vitamin A, RAE_µg",Retinol_µg,"Carotene, beta_µg","Carotene, alpha_µg","Cryptoxanthin, beta_µg","Vitamin A, IU_IU",Lycopene_µg,Lutein + zeaxanthin_µg,Vitamin E (alpha-tocopherol)_mg,"Vitamin E, added_mg","Tocopherol, beta_mg","Tocopherol, gamma_mg","Tocopherol, delta_mg",Vitamin D (D2 + D3)_µg,Vitamin D_IU,Vitamin K (phylloquinone)_µg,"Fatty acids, total saturated_g",4:0_g,6:0_g,8:0_g,10:0_g,12:0_g,14:0_g,16:0_g,18:0_g,"Fatty acids, total monounsaturated_g",16:1 undifferentiated_g,18:1 undifferentiated_g,20:1_g,22:1 undifferentiated_g,"Fatty acids, total polyunsaturated_g",18:2 undifferentiated_g,18:3 undifferentiated_g,18:4_g,20:4 undifferentiated_g,20:5 n-3 (EPA)_g,22:5 n-3 (DPA)_g,22:6 n-3 (DHA)_g,"Fatty acids, total trans_g",Cholesterol_mg,Phytosterols_mg,Tryptophan_g,Threonine_g,Isoleucine_g,Leucine_g,Lysine_g,Methionine_g,Cystine_g,Phenylalanine_g,Tyrosine_g,Valine_g,Arginine_g,Histidine_g,Alanine_g,Aspartic acid_g,Glutamic acid_g,Glycine_g,Proline_g,Serine_g,"Alcohol, ethyl_g",Caffeine_mg,Theobromine_mg,Apigenin_mg,Luteolin_mg,Kaempferol_mg,Myricetin_mg,Quercetin_mg,Daidzein_mg,Genistein_mg,Glycitein_mg,Total isoflavones_mg,Formononetin_mg,Coumestrol_mg,Proanthocyanidin dimers_mg,Proanthocyanidin trimers_mg,Proanthocyanidin 4-6mers_mg,Proanthocyanidin 7-10mers_mg,Proanthocyanidin polymers (>10mers)_mg,"Fluoride, F_µg",Vitamin D3 (cholecalciferol)_µg,15:0_g,17:0_g,20:0_g,22:0_g,24:0_g,14:1_g,15:1_g,16:1 c_g,16:1 t_g,17:1_g,18:1 c_g,18:1 t_g,22:1 c_g,22:1 t_g,24:1 c_g,"18:2 n-6 c,c_g",18:2 CLAs_g,18:2 t not further defined_g,"18:3 n-3 c,c,c (ALA)_g","18:3 n-6 c,c,c_g","20:2 n-6 c,c_g",20:3 undifferentiated_g,20:3 n-6_g,22:4_g,"Fatty acids, total trans-monoenoic_g",Biochanin A_mg,Starch_g,(+)-Catechin_mg,(-)-Epigallocatechin_mg,(-)-Epicatechin_mg,(-)-Epicatechin 3-gallate_mg,(-)-Epigallocatechin 3-gallate_mg,(+)-Gallocatechin_mg,Isorhamnetin_mg,"18:2 t,t_g",Stigmasterol_mg,Campesterol_mg,Beta-sitosterol_mg,Vitamin D2 (ergocalciferol)_µg,18:3i_g,Cyanidin_mg
spinach,0.914,0.23,0.97,0.0286,0.0039000000000000003,0.0172,0.0363,0.022000000000000002,0.0042,0.0007000000000000001,0.0011,0.0015,0.0,0.0,0.001,0.99,0.0271,0.79,0.49,5.58,0.79,0.0053,0.0013,0.00897,0.01,0.281,0.00078,0.00189,0.00724,0.00065,0.0019500000000000001,1.94,0.0,1.94,1.94,0.193,1.026,0.0,0.0,4.69,0.0,56.26,0.0,0.0,93.77,0.0,121.98,0.0203,0.0,0.0,0.0018,0.0,0.0,0.0,4.829,0.00063,0.0,0.0,0.0,0.0,0.0,0.0001,0.00049,4e-05,0.0001,5e-05,5e-05,0.0,0.0,0.00165,0.00026,0.0013800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.00039,0.00122,0.00147,0.00223,0.0017399999999999998,0.00053,0.00035000000000000005,0.0012900000000000001,0.00108,0.00161,0.0016200000000000001,0.00064,0.0014199999999999998,0.0024,0.0034300000000000003,0.00134,0.0011200000000000001,0.00104,0.0,0.0,0.0,0.0,0.006999999999999999,0.064,0.003,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egg,0.7615000000000001,1.43,5.99,0.12560000000000002,0.0951,0.0106,0.0072,0.0,0.0037,0.0,0.0037,0.0,0.0,0.0,0.0,0.56,0.0175,0.12,1.98,1.38,1.42,0.0129,0.0007199999999999999,0.00028000000000000003,0.307,0.0,0.0004,0.00457,0.00075,0.01533,0.0017000000000000001,0.47,0.0,0.47,0.47,2.938,0.003,0.0089,0.0,1.6,1.6,0.0,0.0,0.09,5.4,0.0,5.03,0.0105,0.0,0.0001,0.005,0.0006,0.02,0.82,0.003,0.031259999999999996,4e-05,0.0,4e-05,6e-05,0.0,0.00033,0.02231,0.008110000000000001,0.03658,0.00201,0.03411,0.00027,0.0,0.019110000000000002,0.01555,0.00048,0.0,0.00188,0.0,7.000000000000001e-05,0.00058,0.00037999999999999997,3.72,0.0,0.00167,0.005560000000000001,0.006710000000000001,0.010860000000000002,0.00912,0.0038,0.00272,0.0068000000000000005,0.00499,0.008579999999999999,0.008199999999999999,0.00309,0.00735,0.01329,0.016730000000000002,0.00432,0.00512,0.00971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.011000000000000001,0.02,8e-05,0.00021999999999999998,3e-05,4e-05,0.0,7.000000000000001e-05,0.0,0.00198,3e-05,0.00012,0.03388,0.00023,0.0,0.0,0.0,0.015309999999999999,0.00012,0.00012,0.00035999999999999997,0.00012,0.00017999999999999998,0.00023,0.00021999999999999998,0.00013,0.00026,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rice_basmati,0.1162,3.65,15.27,0.0713,0.0066,0.0064,0.7995,0.013000000000000001,0.0012,0.0008,0.0002,0.0002,0.0,0.0,0.0,0.28,0.0431,0.25,1.15,1.15,0.05,0.0109,0.0022,0.01088,0.151,0.0,0.0057599999999999995,0.00049,0.04192,0.01014,0.00164,2.31,2.23,0.08,3.87,0.057999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0018,0.0,0.0,0.0,0.0,0.0,4e-05,0.00161,0.00012,0.0020599999999999998,2e-05,0.00203,0.0,0.0,0.0017699999999999999,0.00146,0.00031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00083,0.00255,0.00308,0.005889999999999999,0.0025800000000000003,0.00168,0.00146,0.00381,0.0023799999999999997,0.00435,0.00594,0.00168,0.00413,0.0067,0.01389,0.0032500000000000003,0.00335,0.00375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olive_oil,0.0,8.84,36.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.005600000000000001,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1435,0.0,0.0011,0.0083,0.0,0.0,0.0,0.602,0.13808,0.0,0.0,0.0,0.0,0.0,0.0,0.11289999999999999,0.019530000000000002,0.72961,0.012549999999999999,0.71269,0.00311,0.0,0.10522999999999999,0.09762,0.0076100000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021999999999999998,0.00414,0.0012900000000000001,0.0,0.0,0.0,0.0,0.0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrot,0.8829,0.41,1.73,0.009300000000000001,0.0024,0.0097,0.0958,0.027999999999999997,0.047400000000000005,0.0359,0.0059,0.0055000000000000005,0.0,0.0,0.0,0.33,0.003,0.12,0.35,3.2,0.69,0.0024,0.00045,0.0014299999999999998,0.001,0.059000000000000004,0.00066,0.00058,0.00983,0.0027300000000000002,0.0013800000000000002,0.19,0.0,0.19,0.19,0.08800000000000001,0.004,0.0,0.0,8.35,0.0,82.85,34.77,0.0,167.06,0.01,2.56,0.0066,0.0,0.0001,0.0,0.0,0.0,0.0,0.132,0.00037,0.0,0.0,0.0,0.0,0.0,0.0,0.00035000000000000005,2e-05,0.00014000000000000001,2e-05,0.00012,0.0,0.0,0.00117,0.00115,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.00191,0.00077,0.0010199999999999999,0.00101,0.0002,0.00083,0.00061,0.00043,0.0006900000000000001,0.00091,0.0004,0.00113,0.0019,0.00366,0.00047,0.00054,0.00054,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rapeseed_oil,0.0,8.84,36.99,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1746,0.0,0.0001,0.2734,0.009899999999999999,0.0,0.0,0.713,0.07365000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.04298,0.020870000000000003,0.63276,0.00214,0.61744,0.01317,0.0,0.28142,0.19005,0.09137,0.0,0.0,0.0,0.0,0.0,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006500000000000001,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.61714,0.0003,0.0,0.0,0.0,0.1864,0.0,0.0,0.09137,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00365,0.03,2.41,4.13,0.0,0.0,0.0
rice_milk,0.8928,0.47,1.95,0.0028000000000000004,0.0097,0.003,0.0917,0.003,0.0528,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.002,0.11,0.56,0.27,0.39,0.0013,0.00037,0.0028199999999999996,0.022000000000000002,0.0,0.00027,0.0014199999999999998,0.0039000000000000003,0.00146,0.00039,0.02,0.0,0.02,0.02,0.021,0.0,0.0063,0.0063,0.63,0.63,0.0,0.0,0.0,2.08,0.0,0.0,0.004699999999999999,0.0013,0.0,0.0,0.0,0.01,0.42,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,1e-05,0.00624,0.0,0.0,0.00313,0.0030499999999999998,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
rice_cake,0.059000000000000004,3.92,16.4,0.076,0.038,0.012,0.815,0.054000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0158,1.36,3.75,2.9,2.27,0.03,0.0039000000000000003,0.04299,0.24100000000000002,0.03,0.00048,0.0008500000000000001,0.07205,0.014610000000000001,0.00155,0.18,0.0,0.18,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054,0.0,0.0,0.0,0.0,0.0,0.0001,0.0043,0.0008,0.011000000000000001,0.0001,0.0109,0.0,0.0,0.0115,0.0111,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0027900000000000004,0.00321,0.00625,0.0028799999999999997,0.0017399999999999998,0.00094,0.00391,0.0028599999999999997,0.00444,0.0059499999999999996,0.00193,0.0044,0.0070999999999999995,0.0155,0.0038,0.0035499999999999998,0.00394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frozen_raspberries,0.7275,1.03,4.31,0.006999999999999999,0.0016,0.0024,0.2616,0.044000000000000004,0.21760000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.006500000000000001,0.13,0.17,1.14,0.01,0.0018,0.00105,0.006500000000000001,0.003,0.165,0.00018999999999999998,0.00045,0.0023,0.0015,0.00034,0.26,0.0,0.26,0.26,0.102,0.0,0.0,0.0,0.03,0.0,0.21,0.29,0.0,0.6,0.0,1.13,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.065,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,1e-05,0.00015,0.0,0.00014000000000000001,1e-05,0.0,0.00089,0.0005899999999999999,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rice_flour,0.1197,3.63,15.19,0.0723,0.0278,0.0154,0.7648,0.046,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.019799999999999998,1.12,3.37,2.89,0.08,0.0245,0.0023,0.04013,0.0,0.0,0.00443,0.0008,0.0634,0.01591,0.00736,0.16,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00557,0.0,0.0,0.0,0.0,3e-05,0.0001,0.00475,0.0005,0.01008,0.0001,0.00998,0.0,0.0,0.00996,0.00954,0.00042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00092,0.00265,0.00306,0.00598,0.0027600000000000003,0.0016300000000000002,0.0008799999999999999,0.00373,0.00271,0.00424,0.0054800000000000005,0.00184,0.00422,0.006770000000000001,0.01473,0.00356,0.0033900000000000002,0.00374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken,0.7390000000000001,1.2,5.01,0.225,0.0262,0.0113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0037,0.28,2.13,3.34,0.45,0.0068000000000000005,0.00037,0.00010999999999999999,0.228,0.0,0.00094,0.0017699999999999999,0.096,0.014950000000000001,0.008110000000000001,0.09,0.0,0.09,0.09,0.821,0.07,0.0021,0.0,0.09,0.09,0.0,0.0,0.0,0.3,0.0,0.0,0.005600000000000001,0.0,0.0,0.0009,0.0,0.0,0.01,0.0,0.00563,0.0,0.0,0.0,0.00017,4e-05,0.00010999999999999999,0.00393,0.0012900000000000001,0.006889999999999999,0.00083,0.0059,0.0001,0.0,0.00424,0.00319,0.00013,0.0,0.00048,3e-05,6e-05,4e-05,7.000000000000001e-05,0.73,0.0,0.0028299999999999996,0.010089999999999998,0.011040000000000001,0.01861,0.021629999999999996,0.005849999999999999,0.0023599999999999997,0.00908,0.008100000000000001,0.01165,0.01521,0.00839,0.01313,0.02116,0.03333,0.00996,0.00715,0.008579999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3e-05,3e-05,1e-05,3e-05,0.0,3e-05,0.0,0.00083,0.0,2e-05,0.005829999999999999,6e-05,0.0,0.0,0.0,0.00317,1e-05,1e-05,0.00013,0.0,6e-05,0.00012,0.00012,0.00013,6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheddar_cheese,0.37020000000000003,4.04,16.89,0.22870000000000001,0.3331,0.0371,0.030899999999999997,0.0,0.0048,0.0,0.0026,0.0,0.0012,0.0,0.001,7.1,0.0014000000000000002,0.27,4.55,0.76,6.53,0.0364,0.0003,0.00027,0.285,0.0,0.00029,0.00428,0.0005899999999999999,0.0040999999999999995,0.00066,0.27,0.0,0.27,0.27,0.165,0.006999999999999999,0.011000000000000001,0.0,3.3,3.3,0.85,0.0,0.0,12.42,0.0,0.0,0.0070999999999999995,0.0,0.0,0.0,0.0,0.006,0.24,0.024,0.18867,0.00634,0.00536,0.00337,0.008199999999999999,0.00935,0.03005,0.08625,0.03394,0.09246,0.00504,0.07403,0.00065,1e-05,0.01421,0.01171,0.00114,0.0,0.00053,0.0001,0.00017,1e-05,0.009170000000000001,0.99,0.0,0.00547,0.01044,0.01206,0.01939,0.010249999999999999,0.00547,0.00123,0.010740000000000001,0.011080000000000001,0.014039999999999999,0.00547,0.00547,0.00751,0.01734,0.04735,0.00547,0.02497,0.0078000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349,0.006,0.00318,0.00191,0.00048,0.00015,8e-05,0.00296,0.0,0.0,0.00101,0.0005899999999999999,0.0,0.008159999999999999,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,7.000000000000001e-05,0.00037,0.0,8.999999999999999e-05,0.009170000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
red_pepper,0.9220999999999999,0.31,1.29,0.009899999999999999,0.003,0.004699999999999999,0.0603,0.021,0.042,0.0,0.0194,0.0226,0.0,0.0,0.0,0.07,0.0043,0.12,0.26,2.11,0.04,0.0025,0.00017,0.0011200000000000001,0.001,1.2770000000000001,0.00054,0.0008500000000000001,0.00979,0.00317,0.00291,0.46,0.0,0.46,0.46,0.055999999999999994,0.001,0.0,0.0,1.57,0.0,16.24,0.2,4.9,31.31,0.0,0.51,0.0158,0.0,0.0005,0.0014000000000000002,0.0001,0.0,0.0,0.049,0.00027,0.0,0.0,0.0,0.0,0.0,0.0,0.00025,2e-05,3e-05,2e-05,2e-05,0.0,0.0,0.0007000000000000001,0.00045,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0004,0.00021,0.00035999999999999997,0.00035999999999999997,6e-05,0.00018999999999999998,0.0005,8.999999999999999e-05,0.00031,0.00035999999999999997,0.00017,0.00026,0.0028399999999999996,0.00211,0.00028000000000000003,0.00024,0.0005,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
